,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,ride_id,position,sim_schedule
80,80,1505631026,44714412,2021-11-01 10:04:17,,0 days 00:08:37,2021-11-01 10:12:54,,False,,5178,7.5,False,80,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.505631e+09  NaN    80.0     o
2  4.471441e+07  NaN    80.0     d"
81,81,385474972,248191382,2021-11-01 10:04:31,,0 days 00:05:49,2021-11-01 10:10:20,,False,,3494,7.5,False,81,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  385474972.0  NaN    81.0     o
2  248191382.0  NaN    81.0     d"
82,82,1830058787,5264539946,2021-11-01 10:04:43,,0 days 00:04:19,2021-11-01 10:09:02,,False,,2595,7.5,False,82,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.830059e+09  NaN    82.0     o
2  5.264540e+09  NaN    82.0     d"
83,83,44852429,44821027,2021-11-01 10:05:27,,0 days 00:06:03,2021-11-01 10:11:30,,False,,3630,7.5,False,83,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44852429.0  NaN    83.0     o
2  44821027.0  NaN    83.0     d"
84,84,6631921600,839334890,2021-11-01 10:06:47,,0 days 00:05:19,2021-11-01 10:12:06,,False,,3195,7.5,False,84,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  6.631922e+09  NaN    84.0     o
2  8.393349e+08  NaN    84.0     d"
85,85,7472100999,44821045,2021-11-01 10:08:40,,0 days 00:07:53,2021-11-01 10:16:33,,False,,4732,7.5,False,85,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  7.472101e+09  NaN    85.0     o
2  4.482104e+07  NaN    85.0     d"
86,86,1435362462,1413910863,2021-11-01 10:08:53,,0 days 00:03:42,2021-11-01 10:12:35,,False,,2226,7.5,False,86,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.435362e+09  NaN    86.0     o
2  1.413911e+09  NaN    86.0     d"
87,87,1436427141,4968645020,2021-11-01 10:11:02,,0 days 00:03:54,2021-11-01 10:14:56,,False,,2341,7.5,False,87,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.436427e+09  NaN    87.0     o
2  4.968645e+09  NaN    87.0     d"
88,88,44814389,260123525,2021-11-01 10:11:30,,0 days 00:03:28,2021-11-01 10:14:58,,False,,2082,7.5,False,88,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1   44814389.0  NaN    88.0     o
2  260123525.0  NaN    88.0     d"
89,89,44736833,44821030,2021-11-01 10:11:45,,0 days 00:04:47,2021-11-01 10:16:32,,False,,2879,7.5,False,89,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44736833.0  NaN    89.0     o
2  44821030.0  NaN    89.0     d"
90,90,44821027,44841186,2021-11-01 10:12:43,,0 days 00:03:38,2021-11-01 10:16:21,,False,,2180,7.5,False,90,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44821027.0  NaN    90.0     o
2  44841186.0  NaN    90.0     d"
91,91,1449574126,44816467,2021-11-01 10:13:05,,0 days 00:03:37,2021-11-01 10:16:42,,False,,2171,7.5,False,91,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.449574e+09  NaN    91.0     o
2  4.481647e+07  NaN    91.0     d"
92,92,1513191904,44813594,2021-11-01 10:13:18,,0 days 00:04:59,2021-11-01 10:18:17,,False,,2997,7.5,False,92,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.513192e+09  NaN    92.0     o
2  4.481359e+07  NaN    92.0     d"
93,93,1402734813,7399789767,2021-11-01 10:14:06,,0 days 00:04:10,2021-11-01 10:18:16,,False,,2501,7.5,False,93,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.402735e+09  NaN    93.0     o
2  7.399790e+09  NaN    93.0     d"
94,94,1413910858,1391531777,2021-11-01 10:14:34,,0 days 00:03:59,2021-11-01 10:18:33,,False,,2396,7.5,False,94,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.413911e+09  NaN    94.0     o
2  1.391532e+09  NaN    94.0     d"
95,95,5159209866,1570983291,2021-11-01 10:14:55,,0 days 00:06:41,2021-11-01 10:21:36,,False,,4010,7.5,False,95,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  5.159210e+09  NaN    95.0     o
2  1.570983e+09  NaN    95.0     d"
96,96,107926427,44753930,2021-11-01 10:15:17,,0 days 00:05:16,2021-11-01 10:20:33,,False,,3165,7.5,False,96,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  107926427.0  NaN    96.0     o
2   44753930.0  NaN    96.0     d"
