,pos,event,platforms,VoT,U_bike,U_car,U_pt,ASC_rs,mode_choice,prob_rs,informed,expected_wait,mode_day
75,4810005054,,100,12.300157251211356,-0.7560769993905719,-2.5882317446757304,-99999,-2.2497,day-to-day,0.06321090876821017,True,0,rs
76,1391531777,,100,12.317002952763719,-1.1438390075466576,-2.7797100915359927,-99999,-2.2497,day-to-day,0.059841276001789595,True,0,bike
77,1519889795,,100,11.769327898419832,-1.046136325797544,-2.7167782656356545,-99999,-2.2497,day-to-day,0.05819798007345853,True,0,bike
78,1435362415,,100,8.128460115428382,-0.5481743185621396,-2.346765147171161,-99999,-2.2497,day-to-day,0.05061924145434624,True,0,bike
79,4246176888,,100,11.748663463798529,-0.5870937673565279,-2.4837771612835473,-99999,-2.2497,day-to-day,0.06307185943852543,True,0,bike
80,1505631026,,100,12.7953092505562,-1.4626886684721927,-2.9460741445906207,-99999,-2.2497,day-to-day,0.05966952765480171,True,0,rs
81,385474972,,100,15.47415168723051,-1.194105898699829,-2.900786829275665,-99999,-2.2497,day-to-day,0.07355070741408784,True,0,car
82,1830058787,,100,9.235537168042502,-0.5288986901978651,-2.3650429104236954,-99999,-2.2497,day-to-day,0.05562963341730065,True,0,rs
83,44852429,,100,10.20652277123154,-0.8192095393616142,-2.55741604959901,-99999,-2.2497,day-to-day,0.05406661212741168,True,0,bike
84,6631921600,,100,18.916866178144517,-1.3342906465053244,-3.0876371611546007,-99999,-2.2497,day-to-day,0.08765825140995662,True,0,bike
85,7472100999,,100,19.621430464349253,-2.05211820590867,-3.3911755511565342,-99999,-2.2497,day-to-day,0.0989362252441309,True,0,bike
86,1435362462,,100,5.772277850622551,-0.2833418787608923,-2.1026959203585482,-99999,-2.2497,day-to-day,0.05010563011158348,True,0,bike
87,1436427141,,100,14.38414683087537,-0.7442357570294917,-2.661429876564352,-99999,-2.2497,day-to-day,0.06984519661364295,True,0,bike
88,44814389,,100,5.490064811844192,-0.2524941807687276,-2.070406275502277,-99999,-2.2497,day-to-day,0.05051425895519457,True,0,bike
89,44736833,,100,9.965400911264794,-0.6323932691611847,-2.446761262190022,-99999,-2.2497,day-to-day,0.05631171010830824,True,0,bike
90,44821027,,100,8.73355282536126,-0.42097665407758017,-2.2841838674146873,-99999,-2.2497,day-to-day,0.05643616771731286,True,0,bike
91,1449574126,,100,12.873021466013999,-0.6176618732965361,-2.542392713789117,-99999,-2.2497,day-to-day,0.06606486229960178,True,0,bike
92,1513191904,,100,13.973518914397818,-0.923820387695094,-2.7272961479297297,-99999,-2.2497,day-to-day,0.0681195048899022,True,0,bike
93,1402734813,,100,7.036280977041615,-0.38894997623091165,-2.2131819724278574,-99999,-2.2497,day-to-day,0.050983901896985595,True,0,bike
94,1413910858,,100,8.959133187894233,-0.4734503706104864,-2.3233654086263513,-99999,-2.2497,day-to-day,0.055907866850498755,True,0,bike
95,5159209866,,100,20.79318808283838,-1.8436395731360222,-3.3543490955564943,-99999,-2.2497,day-to-day,0.10241777383203923,True,0,bike
96,107926427,,100,15.327153732703467,-1.0709252614748055,-2.8420820103770916,-99999,-2.2497,day-to-day,0.07286519860216784,True,0,bike
97,1679761182,,100,18.43803365020955,-1.145596004095631,-2.9942401865235793,-99999,-2.2497,day-to-day,0.08399450876521579,True,0,bike
98,7399789770,,100,16.17097436098931,-1.17994209587352,-2.919808125264537,-99999,-2.2497,day-to-day,0.07625752184894843,True,0,bike
99,44837714,,100,32.36703728468509,-2.454752071045278,-4.044589192783011,-99999,-2.2497,day-to-day,0.1780818566067248,True,0,bike
100,44824163,,100,18.258117960632774,-1.1061579332460696,-2.971233046426793,-99999,-2.2497,day-to-day,0.08302898817734745,True,0,car
101,3669180604,,100,10.433285291618155,-1.0888640231901225,-2.710144477446561,-99999,-2.2497,day-to-day,0.05093619327361859,True,0,bike
102,1515837165,,100,11.468573720085859,-1.1766246922420536,-2.7762679171943,-99999,-2.2497,day-to-day,0.05524264449500302,True,0,bike
103,44781481,,100,12.57956638268773,-1.020803857363148,-2.726848427513925,-99999,-2.2497,day-to-day,0.062087752184806805,True,0,bike
104,2560427063,,100,8.746189461283622,-0.5453540668759048,-2.3606739341206318,-99999,-2.2497,day-to-day,0.05333000448276637,True,0,car
105,44852052,,100,13.326803637285341,-0.9576789169349216,-2.720444829738926,-99999,-2.2497,day-to-day,0.06557105002504543,True,0,bike
106,889276759,,100,23.97646020279723,-2.512892872321169,-3.7152333958926738,-99999,-2.2497,day-to-day,0.13321358167701147,True,0,rs
107,4846026465,,100,11.509528611602372,-0.7838244751803696,-2.5757052133584395,-99999,-2.2497,day-to-day,0.060025810259492024,True,0,bike
108,3773543334,,100,9.986884355421019,-0.5564691962840592,-2.4048565023844874,-99999,-2.2497,day-to-day,0.057793109255682484,True,0,bike
109,44846574,,100,20.591249759192372,-0.9606733179319206,-3.0157996508075255,-99999,-2.2497,day-to-day,0.08751643641422631,True,0,bike
110,5380526225,,100,9.609518602347482,-0.6926754553429896,-2.470976211566504,-99999,-2.2497,day-to-day,0.053710902542836086,True,0,bike
111,44825524,,100,5.460203677390726,-0.25474276912217686,-2.0716593623046364,-99999,-2.2497,day-to-day,0.05025091342432078,True,0,bike
112,44796534,,100,7.495765405655419,-0.3729143289313571,-2.214458149979719,-99999,-2.2497,day-to-day,0.05342066552648733,True,0,bike
113,5264539952,,100,6.475508250458867,-0.3049748535691111,-2.137176608538173,-99999,-2.2497,day-to-day,0.05207272408751709,True,0,bike
114,44850248,,100,9.950150956369542,-0.7480302374532924,-2.511267391575336,-99999,-2.2497,day-to-day,0.05415280514967277,True,0,bike
115,1569974324,,100,9.514880394335249,-0.5848691257504608,-2.4061848114094824,-99999,-2.2497,day-to-day,0.05549069596943054,True,0,car
116,5353328924,,100,12.008454105167598,-1.0142874046295893,-2.7071781121068117,-99999,-2.2497,day-to-day,0.05962669514262317,True,0,bike
117,4159110115,,100,14.956444992573557,-0.7407761022099543,-2.6831479013812274,-99999,-2.2497,day-to-day,0.07144076768831009,True,0,bike
118,1668136732,,100,11.780010697036875,-1.3961145122097125,-2.8940048034313657,-99999,-2.2497,day-to-day,0.05450712810749625,True,0,bike
119,1435362412,,100,26.197232013567838,-1.6624472355454443,-3.5141412259624216,-99999,-2.2497,day-to-day,0.12028822117968477,True,0,bike
