,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,platform,ride_id,position,sim_schedule
420,420,1448391082,1569975267,2023-06-24 14:37:58,,0 days 00:07:30,2023-06-24 14:45:28,,False,,4501,7.5,False,100,420,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.448391e+09  NaN   420.0     o
2  1.569975e+09  NaN   420.0     d"
421,421,1402734615,44844080,2023-06-24 14:39:59,,0 days 00:05:16,2023-06-24 14:45:15,,False,,3169,7.5,False,100,421,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.402735e+09  NaN   421.0     o
2  4.484408e+07  NaN   421.0     d"
422,422,1413911137,4617340492,2023-06-24 14:42:44,,0 days 00:03:47,2023-06-24 14:46:31,,False,,2272,7.5,False,100,422,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.413911e+09  NaN   422.0     o
2  4.617340e+09  NaN   422.0     d"
423,423,44768025,5356459943,2023-06-24 14:44:02,,0 days 00:03:57,2023-06-24 14:47:59,,False,,2372,7.5,False,100,423,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.476802e+07  NaN   423.0     o
2  5.356460e+09  NaN   423.0     d"
424,424,1413910857,44730619,2023-06-24 14:44:59,,0 days 00:05:39,2023-06-24 14:50:38,,False,,3392,7.5,False,100,424,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.413911e+09  NaN   424.0     o
2  4.473062e+07  NaN   424.0     d"
425,425,1576641163,1620839921,2023-06-24 14:48:43,,0 days 00:06:21,2023-06-24 14:55:04,,False,,3813,7.5,False,100,425,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.576641e+09  NaN   425.0     o
2  1.620840e+09  NaN   425.0     d"
426,426,1448535750,1805100645,2023-06-24 14:48:51,,0 days 00:08:43,2023-06-24 14:57:34,,False,,5231,7.5,False,100,426,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.448536e+09  NaN   426.0     o
2  1.805101e+09  NaN   426.0     d"
427,427,44811668,44802443,2023-06-24 14:49:00,,0 days 00:04:03,2023-06-24 14:53:03,,False,,2439,7.5,False,100,427,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44811668.0  NaN   427.0     o
2  44802443.0  NaN   427.0     d"
428,428,44856483,44845674,2023-06-24 14:50:14,,0 days 00:03:32,2023-06-24 14:53:46,,False,,2127,7.5,False,100,428,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44856483.0  NaN   428.0     o
2  44845674.0  NaN   428.0     d"
429,429,635472691,44792321,2023-06-24 14:51:41,,0 days 00:03:36,2023-06-24 14:55:17,,False,,2160,7.5,False,100,429,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  635472691.0  NaN   429.0     o
2   44792321.0  NaN   429.0     d"
430,430,629532237,1679761150,2023-06-24 14:52:29,,0 days 00:05:21,2023-06-24 14:57:50,,False,,3210,7.5,False,100,430,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  6.295322e+08  NaN   430.0     o
2  1.679761e+09  NaN   430.0     d"
431,431,1667696850,4124549374,2023-06-24 14:53:18,,0 days 00:04:17,2023-06-24 14:57:35,,False,,2578,7.5,False,100,431,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.667697e+09  NaN   431.0     o
2  4.124549e+09  NaN   431.0     d"
