id,fare,name,batch_time,base_fare,comm_rate,min_fare,match_obj,max_wait_time,max_rel_detour
0,1.5,Platform 0,30,1.5,0.25,0,func_key:total_system_time,600,40
1,1.5,Platform 1,30,1.5,0.25,0,func_key:total_system_time,600,40
